books,authors,movies,released_year,imdb_links
"Psycho (1959),", Robert Bloch,Psycho IV: The Beginning,1990,https://www.imdb.com/title/tt0102724/
"The Puppet Masters (1951),", Robert A. Heinlein,The Brain Eaters,1958,https://www.imdb.com/title/tt0051432/
"The Puppet Masters (1951),", Robert A. Heinlein,The Puppet Masters,1994,http://www.isfdb.org/cgi-bin/title.cgi?1358
"The Purple Cloud (1901),", M. P. Shiel,The World,,
"The Purple Cloud (1901),", M. P. Shiel,the Flesh and the Devil,1959,
"Pursuit (1963),", Richard Unekis,Dirty Mary,,
"Pursuit (1963),", Richard Unekis,Crazy Larry,1974,
"Q & A (1977),", Edwin Torres,Q & A,1990,
"QB VII (1970),", Leon Uris,QB VII,1974,
"The Queen of the Damned (1988),", Anne Rice,Queen of the Damned,2002,https://www.imdb.com/title/tt0238546/
"Quentin Durward (1823),", Sir Walter Scott,The Adventures of Quentin Durward,1955,https://www.imdb.com/title/tt0048528/
"The Quick and the Dead (1973),", Louis L'Amour,The Quick and the Dead,1987,
"The Quiet American (1955),", Graham Greene,The Quiet American,1958,/wiki/The_Quiet_American_(1958_film)
"Radio Free Albemuth (1976),", Philip K. Dick,Radio Free Albemuth,2011,http://www.isfdb.org/cgi-bin/title.cgi?9506
"Ragtime (1975),", E. L. Doctorow,Ragtime,1981,/wiki/Ragtime_(film)
"Ramrod (1943),", Luke Short,Ramrod,1947,
"Raiders of Spanish Peaks (1938),", Zane Grey,The Arizona Raiders,1936,https://www.imdb.com/title/tt0027308/
"Rain (2000),", V.C. Andrews,Rain,2006,/wiki/Category:Rain
"The Rainbird Pattern (1972),", Victor Canning,Family Plot,1976,https://www.imdb.com/title/tt0074512/
"The Rainbow (1915),", D. H. Lawrence,The Rainbow,1989,https://www.gutenberg.org/ebooks/28948
"The Rainbow Trail (a. k. a. The Desert Crucible) (1915),", Zane Grey,The Rainbow Trail,1918,https://librivox.org/search?title=The+Rainbow+Trail&author=GREY&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"The Rainmaker (1995),", John Grisham,The Rainmaker,1997,
"Raise the Titanic! (1976),", Clive Cussler,Raise the Titanic,1980,https://www.imdb.com/title/tt0081400/
"Random Hearts (1984),", Warren Adler,Random Hearts,1999,https://www.imdb.com/title/tt0156934/
"Rascal (1963),", Sterling North,Rascal,1969,
"Ratman's Notebooks (1969),", Gilbert Ralston (as Stephen Gilbert),Willard,1971,
"Ratman's Notebooks (1969),", Gilbert Ralston (as Stephen Gilbert),Ben,1972,
"The Razor's Edge (1944),", W. Somerset Maugham,The Razor's Edge,1946,https://fadedpage.com/showbook.php?pid=20171032
"The Reader (1995),", Bernhard Schlink,The Reader,2008,
"Ready Player One (2011),", Ernest Cline,Ready Player One,2018,http://www.isfdb.org/cgi-bin/title.cgi?1297291
"Rebecca (1938),", Daphne du Maurier,Rebecca,1940,
"The Rebel Outlaw: Josey Wales (1973) (a.k.a. Gone to Texas),", Asa Earl Carter (as Forrest Carter),The Outlaw Josey Wales,1976,https://www.imdb.com/title/tt0075029/
"Red Alert (1958),", Peter George,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,
"Red Dragon (1981),", Thomas Harris,Manhunter,1986,
"Red Dragon (1981),", Thomas Harris,Red Dragon,2002,
"Red Hugh: Prince of Donegal (1957),", Robert T. Reilly,The Fighting Prince of Donegal,1966,https://www.imdb.com/title/tt0060408/
"The Red Pony (1937),", John Steinbeck,The Red Pony,1949,https://fadedpage.com/showbook.php?pid=20201044
"The Redhead from Sun Dog (1931),", W. C. Tuttle,Range Feud,1931,
"The Redhead from Sun Dog (1931),", W. C. Tuttle,The Red Rider,1934,https://www.imdb.com/title/tt0025706/
"Reflections in a Golden Eye (1941),", Carson McCullers,Reflections in a Golden Eye,1967,
"The Reincarnation of Peter Proud (1973),", Max Simon Ehrlich,The Reincarnation of Peter Proud,1975,https://www.imdb.com/title/tt0073615/
"The Reivers (1962),", William Faulkner,The Reivers,1969,https://fadedpage.com/showbook.php?pid=20181052
"The Remains of the Day (1989),", Ishiguro,The Remains of the Day,1993,/wiki/The_Remains_of_the_Day_(film)
"Rendezvous in Black (1948),", Cornell Woolrich,Seven Blood-Stained Orchids,1972,https://www.imdb.com/title/tt0067696/
The Rescuers (1959–1978) (series), Margery Sharp,The Rescuers,1977,https://www.allmovie.com/movie/v40980
The Rescuers (1959–1978) (series), Margery Sharp,The Rescuers Down Under,1990,https://www.allmovie.com/movie/v40981
"The Return of the Condor Heroes (1959),", Jin Yong,The Brave Archer and His Mate,1982,https://www.imdb.com/title/tt0079899/
"The Return of the Condor Heroes (1959),", Jin Yong,Little Dragon Maiden,1983,https://www.imdb.com/title/tt0084256/
"The Return of the King (1955),", J. R. R. Tolkien,The Return of the King,1980,https://web.archive.org/web/http://www.iblist.com/book273.htm
"Return of the Living Dead (1977),", John Russo,The Return of the Living Dead,1985,https://www.imdb.com/title/tt0089907/
"Return of the Living Dead (1977),", John Russo,Return of the Living Dead Part II,1988,https://www.imdb.com/title/tt0095990/
"Return of the Living Dead (1977),", John Russo,Return of the Living Dead 3,1993,https://www.imdb.com/title/tt0107953/
"Return of the Living Dead (1977),", John Russo,Return of the Living Dead: Necropolis,2005,https://www.imdb.com/title/tt0411805/
"Return of the Living Dead (1977),", John Russo,Return of the Living Dead: Rave to the Grave,2005,https://www.imdb.com/title/tt0411806/
"The Return of the Native (1878),", Thomas Hardy,The Return of the Native,1994,https://www.gutenberg.org/ebooks/122
"The Return of the Soldier (1918),", Rebecca West,The Return of the Soldier,1982,
"Return to Paradise (1951),", James A. Michener,Return to Paradise,1953,
"Return to Paradise (1951),", James A. Michener,Until They Sail,1957,https://www.imdb.com/title/tt0051141/
"Return to Peyton Place (1959),", Grace Metalious,Return to Peyton Place,1961,
"Reuben, Reuben (1964),", Peter De Vries,Reuben,,
"Revolt (1929),"," Mary C. McCall, Jr.",Scarlet Dawn,1932,https://www.imdb.com/title/tt0022308/
"The Revolt of Mamie Stover (1951),", William Bradford Huie,The Revolt of Mamie Stover,1956,
"Revolutionary Road (1961),", Richard Yates,Revolutionary Road,2008,
"The Riddle of the Sands: A Record of Secret Service (1903),", Erskine Childers,The Riddle of the Sands,1979,https://www.bbc.co.uk/programmes/b00bzdg4
"The Riddle of the Sands: A Record of Secret Service (1903),", Erskine Childers,TV),,
"Riders of the Purple Sage (1912),", Zane Grey,Riders of the Purple Sage,1918,/wiki/Riders_of_the_Purple_Sage_(1918_film)
"Ripley Under Ground (1970),", Patricia Highsmith,Ripley Under Ground,2005,/wiki/Ripley_Under_Ground_(film)
"Ripley's Game (1974),", Patricia Highsmith,Ripley's Game,2002,/wiki/Ripley%27s_Game_(film)
"Rising Sun (1992),", Michael Crichton,Rising Sun,1993,/wiki/Rising_Sun_(video_game)
"The River (1946),", Rumer Godden,The River,1951,
Riverworld (1971–1983) (series), Philip José Farmer,Riverworld,2003,/wiki/Category:Riverworld
"The Road (2006),", Cormac McCarthy,The Road,2009,/wiki/The_Road_(2009_film)
"The Highland Rogue (1723),"," Daniel DefoeRob Roy (1917),Walter Scott",Rob Roy,,
"The Highland Rogue (1723),"," Daniel DefoeRob Roy (1917),Walter Scott",the Highland Rogue,1953,
"The Robe (1942),", Lloyd C. Douglas,The Robe,1953,http://gutenberg.net.au/ebooks04/0400561h.html
"Robinson Crusoe (1719),", Daniel Defoe,Robinson Crusoe,1927,https://www.gutenberg.org/ebooks/12623
"Robinson Crusoe (1719),", Daniel Defoe,Adventures of Robinson Crusoe,1954,
"Robinson Crusoe (1719),", Daniel Defoe,Robinson Crusoe on Mars,1964,https://www.imdb.com/title/tt0058530/
"Robinson Crusoe (1719),", Daniel Defoe,Lt. Robin Crusoe,,
"Robinson Crusoe (1719),", Daniel Defoe,U.S.N.,1966,
"Robinson Crusoe (1719),", Daniel Defoe,Crusoe,1988,
"Robinson Crusoe (1719),", Daniel Defoe,Shipwrecked,1991,
"Rogue Cop (1954),", William P. McGivern,Rogue Cop,1954,https://www.imdb.com/title/tt0047424/
"The Romance of Rosy Ridge (1937),", MacKinlay Kantor,The Romance of Rosy Ridge,1947,https://www.tcm.com/tcmdb/title/398/enwp
"A Room with a View (1908),", E. M. Forster,A Room with a View,1985,https://standardebooks.org/ebooks/e-m-forster/a-room-with-a-view
"The Roots of Heaven (1957),", Romain Gary,The Roots of Heaven,1958,
"Rosemary's Baby (1967),", Ira Levin,Rosemary's Baby,1968,
"Rosemary's Baby (1967),", Ira Levin,Look What's Happened to Rosemary's Baby,1976,https://www.imdb.com/title/tt0074815/
"The Rules of Attraction (1987),", Bret Easton Ellis,The Rules of Attraction,2002,/wiki/The_Rules_of_Attraction_(film)
"Rum Punch (1992),", Elmore Leonard,Jackie Brown,1997,https://www.imdb.com/title/tt0119396/
"The Runaway Jury (1996),", John Grisham,Runaway Jury,2003,https://www.imdb.com/title/tt0313542/
"A Running Duck (a.k.a. Fair Game) (1974),", Paula Gosling,Cobra,1986,
"A Running Duck (a.k.a. Fair Game) (1974),", Paula Gosling,Fair Game,1995,
"The Russia House (1989),", John le Carré,The Russia House,1990,https://www.imdb.com/title/tt0100530/
"Taggart (1959),", Louis L'Amour,Taggart,1964,http://www.stv.tv/taggart
"Tai-Pan (1966),", James Clavell,Tai-Pan,1986,
"Take Three Tenses: A Fugue in Time (1945),", Rumer Godden,Enchantment,1948,
"The Taking of Pelham One Two Three (1973),", Morton Freedgood (as John Godey),The Taking of Pelham One Two Three,1974,
"The Taking of Pelham One Two Three (1973),", Morton Freedgood (as John Godey),The Taking of Pelham 123,2009,
"A Tale of Two Cities (1859),", Charles Dickens,A Tale of Two Cities,1911,/wiki/A_Tale_of_Two_Cities_(1911_film)
"A Tale of Two Cities (1859),", Charles Dickens,The Only Way,1927,
"Tales of the South Pacific (1947),", James A. Michener,South Pacific,1958,
"The Talented Mr. Ripley (1955),", Patricia Highsmith,Plein Soleil,1960,
"The Talented Mr. Ripley (1955),", Patricia Highsmith,The Talented Mr. Ripley,1999,https://www.worldcat.org/oclc/2529516
"The Tall Men (1954),", Henry Wilson Allen,The Tall Men,1954,
"Al-Tareeq al-Masdood (The Barred Road) (1954),", Ihsan Abdel Quddous,Al-Tareeq al-Masdood,1958,
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan of the Apes,1918,https://archive.org/search.php?query=tarzan%20of%20the%20apes%20AND%20mediatype%3Atexts
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,The Romance of Tarzan,1918,https://www.imdb.com/title/tt0009560/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,The Revenge of Tarzan,1920,https://www.imdb.com/title/tt0011624/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,The Son of Tarzan,1920,/wiki/The_Son_of_Tarzan_(film)
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,The Adventures of Tarzan,1921,https://www.imdb.com/title/tt0011908/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Golden Lion,1927,https://www.gutenberg.org/ebooks/58874
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan the Mighty,1928,https://www.imdb.com/title/tt0019447/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan the Tiger,1929,https://www.imdb.com/title/tt0020481/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan the Ape Man,1932,
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan the Fearless,1933,https://www.imdb.com/title/tt0024645/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and His Mate,1934,https://www.imdb.com/title/tt0025862/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,The New Adventures of Tarzan,1935,https://www.allmovie.com/movie/v34841
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan Escapes,1936,https://www.imdb.com/title/tt0028345/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Green Goddess,1938,
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan’s Revenge,1938,
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan Finds a Son!,1939,https://www.imdb.com/title/tt0032007/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Secret Treasure,1941,https://www.imdb.com/title/tt0034266/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's New York Adventure,1942,https://www.tcm.com/tcmdb/title/3594/enwp
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan Triumphs,1943,https://catalog.afi.com/Catalog/moviedetails/706
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Desert Mystery,1943,https://catalog.afi.com/Catalog/moviedetails/705
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Amazons,1945,https://www.imdb.com/title/tt0038151/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Leopard Woman,1946,https://www.imdb.com/title/tt0039011/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Huntress,1947,https://www.imdb.com/title/tt0039887/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Mermaids,1948,https://www.imdb.com/title/tt0040862/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Magic Fountain,1949,https://www.imdb.com/title/tt0041947/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Slave Girl,1950,https://www.imdb.com/title/tt0043025/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Peril,1951,https://www.imdb.com/title/tt0043695/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Savage Fury,1952,https://www.imdb.com/title/tt0045220/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the She-Devil,1953,https://www.imdb.com/title/tt0046404/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Hidden Jungle,1955,https://www.imdb.com/title/tt0048699/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Lost Safari,1957,https://www.imdb.com/title/tt0051057/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Trappers,1958,https://www.imdb.com/title/tt0052273/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Fight for Life,1958,https://www.imdb.com/title/tt0052275/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Greatest Adventure,1959,https://www.imdb.com/title/tt0053334/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan,,/wiki/Tarzan_(musical)
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,the Ape Man,1959,
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan the Magnificent,1960,https://www.imdb.com/title/tt0054368/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan Goes to India,1962,https://www.imdb.com/title/tt0056560/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Three Challenges,1963,https://www.imdb.com/title/tt0057560/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Valley of Gold,1966,https://www.imdb.com/title/tt0061067/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Great River,1967,https://www.imdb.com/title/tt0062341/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Jungle Boy,1968,https://www.imdb.com/title/tt0063673/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan's Deadly Silence,1970,https://www.imdb.com/title/tt0066438/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Brown Prince,1972,https://www.imdb.com/title/tt0069344/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Greystoke: The Legend of Tarzan,,
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Lord of the Apes,1984,
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan and the Lost City,1998,https://www.imdb.com/title/tt0120856/
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan & Jane,2002,https://www.bcdb.com/bcdb/cartoon.cgi?film=25092
"Tarzan (1912–1965, 1995) (series)", Edgar Rice Burroughs,Tarzan II,2005,https://www.imdb.com/title/tt0437503/
"Telefon (1975),", Walter Wager,Telefon,1977,
"Ten Against Caesar (a. k. a. Trail's End at 'Dobe Town) (1952),", Kathleen B. George and Robert A. Granger,Gun Fury,1953,https://www.imdb.com/title/tt0045846/
"Loving Care (1984),", Andrew Neiderman,Tender Loving Care,1999,
"The Terminal Man (1972),", Michael Crichton,The Terminal Man,1974,/wiki/The_Terminal_Man_(film)
"Terms of Endearment (1975),", Larry McMurtry,Terms of Endearment,1983,https://www.imdb.com/title/tt0086425/
"As Terras Do Risco (1994),", Agustina Bessa-Luís,The Convent,1995,
"Tess of the d'Urbervilles (1891),", Thomas Hardy,Tess of the d'Urbervilles,1913,https://www.gutenberg.org/ebooks/110
"Tess of the d'Urbervilles (1891),", Thomas Hardy,Tess,1979,
"The Tesseract (1998),", Alex Garland,The Tesseract,2003,
"Tex (1979),", S. E. Hinton,Tex,1982,
"Texas (1985),", James A. Michener,James A. Michener's Texas,1994,
"Texasville (1987),", Larry McMurtry,Texasville,1990,https://www.imdb.com/title/tt0103069/
"Theatre (1937),", W. Somerset Maugham,Bezaubernde Julia,1960,
"Theatre (1937),", W. Somerset Maugham,Theatre,1978,/wiki/Category:Theatre
"Theatre (1937),", W. Somerset Maugham,Poniro thilyko... katergara gynaika!,1980,
"Theatre (1937),", W. Somerset Maugham,Being Julia,2004,https://www.imdb.com/title/tt0340012/
"There's a Porpoise Close Behind Us, Arthur Barker (1936),", Noel Langley,These Foolish Things,2005,/wiki/These_Foolish_Things_(album)
"These Foolish Things (2004),", Deborah Moggach,The Best Exotic Marigold Hotel,2012,https://www.imdb.com/title/tt1412386/
"They Came to Cordura (1958),", Glendon Swarthout,They Came to Cordura,1959,https://www.imdb.com/title/tt0053351/
"They Do It with Mirrors (1952),", Agatha Christie,Murder Ahoy!,1964,https://www.imdb.com/title/tt0058382/
"They Do It with Mirrors (1952),", Agatha Christie,Murder with Mirrors,1985,https://www.imdb.com/title/tt0089640/
"They Saved London (1955),", Bernard Newman,Battle of the V-1,1958,https://www.imdb.com/title/tt0051402/
"They Shoot Horses, Don't They? (1935),", Horace McCoy,They Shoot Horses,,
"They Shoot Horses, Don't They? (1935),", Horace McCoy,Don't They?,1969,
"Thin Air (1995),", Robert B. Parker,Thin Air,2000,
"The Thirteenth Guest (1929),", Armitage Trail,The Thirteenth Guest,1932,https://www.imdb.com/title/tt0023583/
"The Thirty-Nine Steps (1915),", John Buchan,The 39 Steps,1935,
"The Thirty-Nine Steps (1915),", John Buchan,The Thirty Nine Steps,1978,/wiki/The_Thirty_Nine_Steps_(1978_film)
"The Thirty-Nine Steps (1915),", John Buchan,The Thirty-Nine Steps,2011,https://www.gutenberg.org/ebooks/558
"Thieves Like Us (1937),", Frederick A. Stokes,They Live by Night,1950,https://www.imdb.com/title/tt0040872/
"Thieves Like Us (1937),", Frederick A. Stokes,Thieves Like Us,1974,
"Thomasina: The Cat Who Thought She Was God (1957),", Paul Gallico,The Three Lives of Thomasina,1964,https://www.imdb.com/title/tt0057579/
"Thor (1993),", Wayne Smith,Bad Moon,1996,https://www.imdb.com/title/tt0115610/
"Thunder Mountain (1935),", Zane Grey,Thunder Mountain,1935,
"Thunderball (1961),", Ian Fleming,Thunderball,1965,
"Thunderball (1961),", Ian Fleming,Never Say Never Again,1983,https://www.imdb.com/title/tt0086006/
"The Thundering Herd (1925),", Zane Grey,The Thundering Herd,1925,
"Three Godfathers (1913),", Peter B. Kyne,The Three Godfathers,1916,
"Three Godfathers (1913),", Peter B. Kyne,Marked Men,1919,
"Three Godfathers (1913),", Peter B. Kyne,Action,1921,
"Three Godfathers (1913),", Peter B. Kyne,Hell's Heroes,1930,
"Three Godfathers (1913),", Peter B. Kyne,Three Godfathers,1936,
"Three Godfathers (1913),", Peter B. Kyne,3 Godfathers,1948,https://www.imdb.com/title/tt0040064/
"Three Godfathers (1913),", Peter B. Kyne,The Godchild,1974,
"Three-Ten to Yuma (1953),", Elmore Leonard,3:10 to Yuma,1957,
"The Three Worlds of Johnny Handsome (1973),", Morton Freedgood,Johnny Handsome,1989,https://www.imdb.com/title/tt0097626/
"A Thrill a Minute with Jack Albany (1967),", Morton Freedgood (as John Godey),Never a Dull Moment,1968,
"A Tiger Walks (1960),", Ian Niall,A Tiger Walks,1964,https://www.imdb.com/title/tt0058657/
"Time After Time (1979),", Karl Alexander,Time After Time,1979,
"The Time Machine (1895),", H. G. Wells,The Time Machine,1960,https://commons.wikimedia.org/wiki/Category:The_Time_Machine
"A Time to Kill (1989),", John Grisham,A Time to Kill,1996,
"The Time Traveler's Wife (2003),", Audrey Niffenegger,The Time Traveler's Wife,2009,
"Timeline (1999),", Michael Crichton,Timeline,2003,
"Tinker, Tailor, Soldier, Spy (1974),", John le Carré,Tinker,,
"Tinker, Tailor, Soldier, Spy (1974),", John le Carré,Tailor,,
"Tinker, Tailor, Soldier, Spy (1974),", John le Carré,Soldier,,https://commons.wikimedia.org/wiki/Soldier
"Tinker, Tailor, Soldier, Spy (1974),", John le Carré,Spy,2011,
"To Catch a Thief (1952),", David F. Dodge,To Catch a Thief,1955,https://www.imdb.com/title/tt0048728/
"To Have and Have Not (1937),", Ernest Hemingway,To Have and Have Not,1944,
"To Have and Have Not (1937),", Ernest Hemingway,The Breaking Point,1950,
"To Have and Have Not (1937),", Ernest Hemingway,The Gun Runners,1958,https://www.imdb.com/title/tt0051687/
"To Kill a Mockingbird (1960),", Harper Lee,To Kill a Mockingbird,1962,http://www.encyclopediaofalabama.org/face/Article.jsp?id=h-1140
"To Sir, With Love (1959),", E. R. Braithwaite,To Sir,,
"To Sir, With Love (1959),", E. R. Braithwaite,with Love,1967,
"To Sir, With Love (1959),", E. R. Braithwaite,with Love II,1996,
"The Molly Fountain mini series - To the Devil (1953),", Dennis Wheatley,To the Devil a Daughter,1976,https://www.imdb.com/title/tt0075334/
"To the Last Man (1921),", Zane Grey,To the Last Man,1933,
"Der Tod in Venedig (Death in Venice) (1912),", Thomas Mann,Death in Venice,1971,/wiki/Death_in_Venice_(film)
"Toby Tyler; or, Ten Weeks with a Circus (1877) (serial),",James Otis Kaler,Toby Tyler,1960,https://www.imdb.com/title/tt0054390/
"Toilers of the Sea (French: ) (1866),", Victor Hugo,Toilers of the Sea,1914,https://librivox.org/search?title=Toilers+of+the+Sea&author=HUGO&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"Toilers of the Sea (French: ) (1866),", Victor Hugo,Sea Devils,1953,/wiki/Sea_Devils_(1953_film)
"Topaz (1967),", Leon Uris,Topaz,1969,http://gemstone.org/education/gem-by-gem/206-topaz
"Touch (1987),", Elmore Leonard,Touch,1997,/wiki/Touch
"Le tour du monde en quatre-vingts jours (Around the World in Eighty Days) (1873),", Jules Verne,Round the World in 80 Days,1914,
"Le tour du monde en quatre-vingts jours (Around the World in Eighty Days) (1873),", Jules Verne,Around the World in Eighty Days,1919,/wiki/Around_the_World_in_Eighty_Days_(1919_film)
"Le tour du monde en quatre-vingts jours (Around the World in Eighty Days) (1873),", Jules Verne,Around the World in 80 Days,1956,/wiki/Around_the_World_in_80_Days_(1956_film)
"Le tour du monde en quatre-vingts jours (Around the World in Eighty Days) (1873),", Jules Verne,The Three Stooges Go Around the World in a Daze,1963,https://www.imdb.com/title/tt0057580/
"Le tour du monde en quatre-vingts jours (Around the World in Eighty Days) (1873),", Jules Verne,Ginga Shippu Sasuraiger,1983,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=2227
"Le tour du monde en quatre-vingts jours (Around the World in Eighty Days) (1873),", Jules Verne,Tweety's High-Flying Adventure,2000,https://www.imdb.com/title/tt0248575/
"Tous les hommes sont mortels (All Men Are Mortal) (1946),", Simone de Beauvoir,All Men Are Mortal,1995,
"A Town Like Alice (1950),", Nevil Shute,A Town Like Alice,1956,
"The Track of the Cat (1949),", Walter Van Tilburg Clark,Track of the Cat,1952,https://www.imdb.com/title/tt0047603/
"Trainspotting (1993),", Irvine Welsh,Trainspotting,1996,
"Treasure Island (1883),", Robert Louis Stevenson,Treasure Island,1918,/wiki/Treasure_Island_(1918_film)
"Treasure Island (1883),", Robert Louis Stevenson,Long John Silver,1954,/wiki/Long_John_Silver_(film)
"Treasure Island (1883),", Robert Louis Stevenson,Return to Treasure Island,1954,
"Treasure Island (1883),", Robert Louis Stevenson,Animal Treasure Island,1971,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=1466/
"Treasure Island (1883),", Robert Louis Stevenson,L'Île au trésor,1985,
"Treasure Island (1883),", Robert Louis Stevenson,L'isola del tesoro,1987,https://www.imdb.com/title/tt0179577/
"Treasure Island (1883),", Robert Louis Stevenson,Muppet Treasure Island,1996,http://www.wikia.com/wiki/w:c:muppet:Muppet_Treasure_Island
"Treasure Island (1883),", Robert Louis Stevenson,Treasure Planet,2002,https://www.imdb.com/title/tt0133240/
"Treasure Island (1883),", Robert Louis Stevenson,Pirates of Treasure Island,2006,https://www.imdb.com/title/tt0811011/
"Treasure Island (1883),", Robert Louis Stevenson,Die Schatzinsel,2007,
"The Treasure of the Sierra Madre (1927),", B. Traven,The Treasure of the Sierra Madre,1948,
"The Trial (1925),", Franz Kafka,The Trial,1962,/wiki/The_Trial_(1993_film)
"The Trial (1925),", Franz Kafka,After Hours,1985,
"Trinity's Child (1983),", William Prochnau,By Dawn's Early Light,1990,https://www.imdb.com/title/tt0099197/
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",The Three Musketeers,1903,/wiki/The_Three_Musketeers_(1966_TV_series)
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",The Three Musketeers: Part 1/The Three Musketeers: Part 2,1911,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Les Trois Mousquetaires,1921,https://www.imdb.com/title/tt0178078/
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",At Sword's Point,1952,https://www.imdb.com/title/tt0044380/
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Los tres mosqueteros y medio,1957,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Les trois mousquetaires: Premiere époque-Les ferrets de la reine,1961,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Les trois mousquetaires: La vengeance de Milady,1961,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",The Three Musketeers in Boots,1972,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",The Four Musketeers,1974,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",The Return of the Musketeers,1989,https://www.imdb.com/title/tt0098194/
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Les Quatre Charlots Mousquetaires,1974,
